CMDLINE python C:\Users\2acffb24\Downloads\result\sort_sc.py
MEM 12.226562 1715320829.4692
MEM 12.226562 1715320829.5700
MEM 12.226562 1715320829.6704
MEM 12.226562 1715320829.7708
MEM 12.226562 1715320829.8712
MEM 12.226562 1715320829.9714
MEM 12.226562 1715320830.0720
MEM 12.226562 1715320830.1725
MEM 12.226562 1715320830.2731
MEM 12.226562 1715320830.3735
MEM 12.226562 1715320830.4740
MEM 12.226562 1715320830.5745
MEM 12.226562 1715320830.6748
MEM 12.226562 1715320830.7752
MEM 12.226562 1715320830.8759
MEM 12.226562 1715320830.9763
MEM 12.226562 1715320831.0766
MEM 12.226562 1715320831.1770
MEM 12.226562 1715320831.2775
MEM 12.226562 1715320831.3781
MEM 12.226562 1715320831.4787
MEM 12.226562 1715320831.5792
MEM 12.226562 1715320831.6796
MEM 12.226562 1715320831.7801
MEM 12.226562 1715320831.8808
MEM 12.226562 1715320831.9814
MEM 12.226562 1715320832.0820
MEM 12.226562 1715320832.1827
MEM 12.226562 1715320832.2831
MEM 12.226562 1715320832.3838
MEM 12.226562 1715320832.4842
MEM 12.296875 1715320832.5849
MEM 12.296875 1715320832.6864
MEM 12.296875 1715320832.7871
MEM 12.296875 1715320832.8877
MEM 12.296875 1715320832.9883
MEM 12.296875 1715320833.0887
MEM 12.296875 1715320833.1894
MEM 12.296875 1715320833.2897
MEM 12.296875 1715320833.3906
MEM 12.296875 1715320833.4907
MEM 12.296875 1715320833.5913
MEM 12.296875 1715320833.6919
MEM 12.296875 1715320833.7922
MEM 12.296875 1715320833.8929
MEM 12.296875 1715320833.9936
MEM 12.296875 1715320834.0942
MEM 12.296875 1715320834.1947
MEM 12.296875 1715320834.2952
MEM 12.296875 1715320834.3959
MEM 12.296875 1715320834.4962
MEM 12.296875 1715320834.5967
MEM 12.296875 1715320834.6972
MEM 12.296875 1715320834.7976
MEM 12.296875 1715320834.8981
MEM 12.296875 1715320834.9989
MEM 12.296875 1715320835.0993
MEM 12.296875 1715320835.1999
MEM 12.296875 1715320835.3004
MEM 12.296875 1715320835.4011
MEM 12.296875 1715320835.5014
MEM 12.296875 1715320835.6020
MEM 12.296875 1715320835.7022
MEM 12.296875 1715320835.8028
MEM 12.296875 1715320835.9032
MEM 12.296875 1715320836.0038
MEM 12.296875 1715320836.1044
MEM 12.296875 1715320836.2050
MEM 12.296875 1715320836.3053
MEM 12.296875 1715320836.4057
MEM 12.296875 1715320836.5066
MEM 12.296875 1715320836.6069
MEM 12.296875 1715320836.7073
MEM 12.296875 1715320836.8080
MEM 12.296875 1715320836.9086
MEM 12.296875 1715320837.0088
MEM 12.296875 1715320837.1094
MEM 12.296875 1715320837.2099
MEM 12.296875 1715320837.3104
MEM 12.296875 1715320837.4110
MEM 12.296875 1715320837.5116
MEM 12.296875 1715320837.6121
MEM 12.296875 1715320837.7125
MEM 12.296875 1715320837.8132
MEM 12.296875 1715320837.9134
MEM 12.367188 1715320838.0138
MEM 12.367188 1715320838.1142
MEM 12.367188 1715320838.2147
MEM 12.367188 1715320838.3154
MEM 12.367188 1715320838.4160
MEM 12.367188 1715320838.5164
MEM 12.367188 1715320838.6170
MEM 12.367188 1715320838.7176
MEM 12.367188 1715320838.8178
MEM 12.367188 1715320838.9185
MEM 12.367188 1715320839.0189
MEM 12.367188 1715320839.1195
MEM 12.367188 1715320839.2200
MEM 12.367188 1715320839.3203
MEM 12.367188 1715320839.4210
MEM 12.367188 1715320839.5217
MEM 12.367188 1715320839.6220
MEM 12.367188 1715320839.7227
MEM 12.367188 1715320839.8232
MEM 12.367188 1715320839.9239
MEM 12.367188 1715320840.0245
MEM 12.367188 1715320840.1249
MEM 12.367188 1715320840.2252
MEM 12.367188 1715320840.3256
MEM 12.367188 1715320840.4262
MEM 12.367188 1715320840.5266
MEM 12.367188 1715320840.6268
MEM 12.367188 1715320840.7273
MEM 12.367188 1715320840.8279
MEM 12.367188 1715320840.9284
MEM 12.367188 1715320841.0290
MEM 12.367188 1715320841.1295
MEM 12.367188 1715320841.2301
MEM 12.367188 1715320841.3306
MEM 12.367188 1715320841.4310
MEM 12.367188 1715320841.5314
MEM 12.367188 1715320841.6318
MEM 12.367188 1715320841.7323
MEM 12.367188 1715320841.8327
MEM 12.367188 1715320841.9330
MEM 12.367188 1715320842.0335
MEM 12.367188 1715320842.1340
MEM 12.367188 1715320842.2345
MEM 12.367188 1715320842.3351
MEM 12.367188 1715320842.4358
MEM 12.367188 1715320842.5361
MEM 12.367188 1715320842.6367
MEM 12.367188 1715320842.7372
MEM 12.367188 1715320842.8379
MEM 12.367188 1715320842.9383
MEM 12.367188 1715320843.0390
MEM 12.367188 1715320843.1394
MEM 12.367188 1715320843.2401
MEM 12.367188 1715320843.3406
MEM 12.367188 1715320843.4409
MEM 12.367188 1715320843.5413
MEM 12.367188 1715320843.6417
MEM 12.367188 1715320843.7420
MEM 12.367188 1715320843.8427
MEM 12.367188 1715320843.9429
MEM 12.367188 1715320844.0434
MEM 12.367188 1715320844.1439
MEM 12.367188 1715320844.2446
MEM 12.367188 1715320844.3449
MEM 12.367188 1715320844.4452
MEM 12.367188 1715320844.5457
MEM 12.367188 1715320844.6463
MEM 12.367188 1715320844.7468
MEM 12.367188 1715320844.8472
MEM 12.367188 1715320844.9475
MEM 12.367188 1715320845.0481
MEM 12.367188 1715320845.1488
MEM 12.437500 1715320845.2493
MEM 12.437500 1715320845.3498
MEM 12.437500 1715320845.4504
MEM 12.437500 1715320845.5508
MEM 12.437500 1715320845.6511
MEM 12.437500 1715320845.7516
MEM 12.437500 1715320845.8521
MEM 12.437500 1715320845.9526
MEM 12.437500 1715320846.0529
MEM 12.437500 1715320846.1532
MEM 12.437500 1715320846.2535
MEM 12.437500 1715320846.3542
MEM 12.437500 1715320846.4548
MEM 12.437500 1715320846.5552
MEM 12.437500 1715320846.6555
MEM 12.437500 1715320846.7560
MEM 12.437500 1715320846.8565
MEM 12.437500 1715320846.9574
MEM 12.437500 1715320847.0577
MEM 12.437500 1715320847.1580
MEM 12.437500 1715320847.2586
MEM 12.437500 1715320847.3594
MEM 12.437500 1715320847.4597
MEM 12.437500 1715320847.5602
MEM 12.437500 1715320847.6607
MEM 12.437500 1715320847.7613
MEM 12.437500 1715320847.8618
MEM 12.437500 1715320847.9625
MEM 12.437500 1715320848.0632
MEM 12.437500 1715320848.1640
MEM 12.437500 1715320848.2645
MEM 12.437500 1715320848.3650
MEM 12.437500 1715320848.4655
MEM 12.437500 1715320848.5660
MEM 12.437500 1715320848.6663
MEM 12.437500 1715320848.7671
MEM 12.437500 1715320848.8677
MEM 12.437500 1715320848.9684
MEM 12.437500 1715320849.0687
MEM 12.437500 1715320849.1693
MEM 12.437500 1715320849.2702
MEM 12.437500 1715320849.3706
MEM 12.437500 1715320849.4711
MEM 12.437500 1715320849.5717
